IDs,log10_BF,IDs,CIR,GOU,Poi,NB
0,9.217001146647817,allen_C01_glu_Cox6b1,-8109.018306281249,-8118.235307427897,-8650.061533911598,-8116.398865515941
1,12.088222486927407,allen_C01_glu_Mdh1,-7806.234106905263,-7818.32232939219,-8201.277126527835,-7820.222527116688
2,-119.44748049050213,allen_C01_glu_Slc24a3,-8783.090619083845,-8663.643138593343,-16560.474823132605,-8781.326143157472
3,40.51110567969772,allen_C01_glu_Stmn3,-10014.150144486215,-10054.661250165913,-11264.306116385731,-10082.04012936791
4,17.11697583375644,allen_C01_glu_Gria2,-14283.652976066793,-14300.76995190055,-18895.02688996579,-14644.369628559487
5,-84.038875840748,allen_C01_glu_Slc35f1,-11884.946197209545,-11800.907321368797,-18556.256142375772,-11900.809245778251
6,-162.4916530541177,allen_C01_glu_Trhde,-11323.055959563373,-11160.564306509255,-18120.612445767,-11319.63955356531
7,-77.66708903804465,allen_C01_glu_Atxn1,-14337.590991212952,-14259.923902174907,-20223.235872019795,-14534.315308445322
8,63.88855075698848,allen_B08_glu_Cox6b1,-8838.290726128944,-8902.179276885932,-11323.35649123935,-8896.920341569928
9,66.41989737571748,allen_B08_glu_Mdh1,-8879.440256621945,-8945.860153997663,-11078.404593939395,-8950.180169284817
10,-136.5666528253114,allen_B08_glu_Slc24a3,-9201.03153799662,-9064.464885171308,-21896.884676773247,-9251.742351355822
11,182.54731858469495,allen_B08_glu_Stmn3,-11052.62717260453,-11235.174491189226,-17530.9316291686,-11310.52054111143
12,13.401475064019905,allen_B08_glu_Gria2,-15035.096009645533,-15048.497484709553,-28560.969197566057,-15731.443488177401
13,-96.9935756806135,allen_B08_glu_Slc35f1,-12726.804931966397,-12629.811356285783,-26947.80865495869,-12819.99311486002
14,-90.23105210925314,allen_B08_glu_Trhde,-11097.406240320588,-11007.175188211335,-20467.063169139514,-11139.212306925232
15,-107.32436194765978,allen_B08_glu_Atxn1,-13550.262819285119,-13442.93845733746,-26167.47773880021,-13621.068110485898
