,log10_BF,IDs
0,[-9.15640243],Cox6b1_allen_C01_glu
1,[-11.31318757],Mdh1_allen_C01_glu
2,[122.53756108],Slc24a3_allen_C01_glu
3,[-36.55266087],Stmn3_allen_C01_glu
4,[-16.71152988],Gria2_allen_C01_glu
5,[83.45381516],Slc35f1_allen_C01_glu
6,[156.23258764],Trhde_allen_C01_glu
7,[77.36950526],Atxn1_allen_C01_glu
8,[-64.42643111],Cox6b1_allen_B08_glu
9,[-65.08670679],Mdh1_allen_B08_glu
10,[137.62890326],Slc24a3_allen_B08_glu
11,[-181.16574043],Stmn3_allen_B08_glu
12,[-14.63875397],Gria2_allen_B08_glu
13,[96.81149961],Slc35f1_allen_B08_glu
14,[89.03654238],Trhde_allen_B08_glu
15,[106.71642691],Atxn1_allen_B08_glu
